wf_name,num_nodes,max_indeg,deadline_const,rel_const,thresh,dynamic_up
CyberShake_100.txt,102,48,14.8568,0.985,0.300000,15112
CyberShake_50.txt,52,23,17.0987,0.985,0.300000,5407.52
Epigenomics_100.txt,102,24,1944.11,0.985,0.300000,4.76396e+06
Epigenomics_24.txt,26,5,363.207,0.985,0.300000,189360
Epigenomics_46.txt,49,5,502.942,0.985,0.300000,264503
Inspiral_100.txt,102,11,86.7341,0.985,0.300000,182184
Inspiral_1000.txt,1002,40,91.9813,0.985,0.300000,2.62791e+06
Inspiral_30.txt,32,7,86.8915,0.985,0.300000,39953.6
Inspiral_50.txt,52,12,91.8128,0.985,0.300000,95307.2
Montage_100.txt,102,62,4.60235,0.985,0.300000,5501.73
Montage_1000.txt,1002,662,23.9788,0.985,0.300000,150542
Montage_25.txt,27,9,3.0268,0.985,0.300000,2717.62
Montage_50.txt,52,28,3.62878,0.985,0.300000,3206.97
Sipht_100.txt,99,23,291.224,0.985,0.300000,120801
Sipht_1000.txt,970,32,345.903,0.985,0.300000,1.1477e+06
Sipht_30.txt,31,17,286.926,0.985,0.300000,44077.5
Sipht_60.txt,60,18,301.946,0.985,0.300000,70418.5
avianflu_large.txt,2004,2000,140.57,0.985,0.300000,5.44681e+07
avianflu_medium.txt,1004,1000,140.57,0.985,0.300000,2.31198e+07
avianflu_small.txt,104,100,140.57,0.985,0.300000,2.28966e+06
cadsr.txt,6,2,1.30157,0.985,0.300000,133.549
motif_large.txt,505,500,591.564,0.985,0.300000,4.52695e+07
motif_medium.txt,140,135,591.564,0.985,0.300000,1.02396e+07
motif_small.txt,15,10,591.564,0.985,0.300000,374358
