wf_name,num_nodes,max_indeg,deadline_const,rel_const,sota,bcpswa,random,sb_lft,sb_dd,dynamic
CyberShake_100.txt,102,48,14.8568,0.95,2595.72,51551.8,44676.9,2607.29,2607.29,1445.57
CyberShake_50.txt,52,23,17.0987,0.95,1520.95,30493.5,14457,1556.67,1556.67,825.363
Epigenomics_100.txt,102,24,1944.11,0.95,5.01343e+006,9.298e+006,8.86559e+006,518702,8.27272e+006,4.33411e+006
Epigenomics_24.txt,26,5,363.207,0.95,22661.7,408433,26673.2,26673.6,404482,16761.2
Epigenomics_46.txt,49,5,502.942,0.95,130516,954273,653764,62130.5,950407,48377.4
Inspiral_100.txt,102,11,86.7341,0.95,26846.1,484583,314391,108887,460769,71442.5
Inspiral_1000.txt,1002,40,91.9813,0.95,1.72615e+006,5.24834e+006,5.22443e+006,2.03661e+006,5.1427e+006,1.34458e+006
Inspiral_30.txt,32,7,86.8915,0.95,8207.12,152517,62738.9,11340.7,61902.9,6327.17
Inspiral_50.txt,52,12,91.8128,0.95,14844.5,271102,225186,20330.6,129191,14469.1
Montage_100.txt,102,62,4.60235,0.95,1239.94,24877.8,12710.1,3362.7,3060.59,1474.29
Montage_1000.txt,1002,662,23.9788,0.95,13889.3,262268,253352,255572,58569.6,132908
Montage_25.txt,27,9,3.0268,0.95,253.957,5249.43,3912.04,1811.66,708.695,1193.45
Montage_50.txt,52,28,3.62878,0.95,580.158,11723.7,4768.38,2635.25,913.417,780.275
Sipht_100.txt,99,23,291.224,0.95,72016.3,400587,336350,49980.2,128821,29430.8
Sipht_1000.txt,970,32,345.903,0.95,2.43609e+006,4.00312e+006,3.9552e+006,457810,1.48703e+006,315890
Sipht_30.txt,31,17,286.926,0.95,7077.33,127841,93545.9,17185.9,7658.81,9062.19
Sipht_60.txt,60,18,301.946,0.95,42702.4,268958,237665,25340.1,80256,14993.6
avianflu_large.txt,2004,2000,140.57,0.95,8.298e+007,1.38754e+008,1.38754e+008,1.38754e+008,1.38754e+008,4.97672e+007
avianflu_medium.txt,1004,1000,140.57,0.95,4.14904e+007,5.57769e+007,5.57769e+007,5.57769e+007,5.57769e+007,2.50291e+007
avianflu_small.txt,104,100,140.57,0.95,1.00375e+006,4.15713e+006,235855,235855,227915,131797
cadsr.txt,6,2,1.30157,0.95,19.2215,460.982,349.78,127.378,17.6993,96.0304
floodplain.txt,9,2,7614.19,0.95,837847,3.69246e+006,1.48572e+006,1.39515e+006,1.78862e+006,938839
gene2life.txt,10,2,35.1424,0.95,1240.72,24893,16347.3,10436.6,1313.09,5942.06
glimmer.txt,6,1,6.3777,0.95,106.667,2258.81,151.148,284.589,106.667,162.703
leadadas.txt,8,3,324.482,0.95,6778.55,123912,6903.02,21512.5,6780.02,14458
leaddm..txt,5,1,14.9681,0.95,260.029,5301.29,2471.57,2471.57,256.058,1263.76
leaddm.txt,5,1,14.9681,0.95,260.029,5301.29,2471.57,2471.57,256.058,1613.61
leadmm..txt,8,3,324.482,0.95,6601.79,120408,6971.85,17113,6604.63,9880.05
leadmm.txt,8,3,324.482,0.95,6601.79,120408,6971.85,17113,6604.63,12122.1
mcstas.txt,5,1,290276,0.95,1.02808e+008,2.05616e+008,2.05616e+008,2.05616e+008,2.05616e+008,7.08478e+007
mememast.txt,4,1,7.80942,0.95,133.595,2765.89,133.595,1449.74,133.595,919.644
molsci.txt,7,2,66.3801,0.95,1519.35,30424.8,4147.04,15849.2,1581.55,10723.2
motif_large.txt,505,500,591.564,0.95,6.23169e+007,9.75017e+007,9.75017e+007,9.75017e+007,9.75017e+007,3.89248e+007
motif_medium.txt,140,135,591.564,0.95,1.19336e+007,1.68878e+007,929485,929485,1.64239e+007,533994
motif_small.txt,15,10,591.564,0.95,182625,1.3297e+006,1.09959e+006,80690.4,73866.6,48413.3
psload_large.txt,5086,1000,3.25393,0.95,522283,2.36253e+006,2.34615e+006,229340,2.2417e+006,142913
psload_medium.txt,491,100,3.25393,0.95,11845.9,222424,188138,23891.8,210843,15178.1
psload_small.txt,6,1,3.25393,0.95,52.6203,1152.45,818.851,271.978,52.6203,160.46
psmerge_medium.txt,843,195,960.559,0.95,2.0671e+008,3.86339e+008,3.86339e+008,3.86339e+008,3.86339e+008,1.28864e+008
psmerge_small.txt,82,77,960.559,0.95,1.50159e+007,1.92589e+007,1.07329e+006,1.07237e+006,1.87977e+007,681438
scoop_large..txt,103,100,58.6358,0.95,394405,2.07444e+006,1.40786e+006,110805,110805,63130.2
scoop_large.txt,103,100,58.6358,0.95,394405,2.07444e+006,1.40786e+006,110805,110805,58647.7
scoop_medium.txt,53,50,58.6358,0.95,57400,1.03723e+006,607010,56151.2,56151.2,41232.7
scoop_small.txt,8,5,58.6358,0.95,5305.09,103744,5190.46,5190.46,5190.46,3962.87
