wf_name,num_nodes,max_indeg,deadline_const,rel_const,thresh,dynamic_up
CyberShake_100.txt,102,48,14.8568,0.985,4.500000,13379.1
CyberShake_50.txt,52,23,17.0987,0.985,4.500000,16551.3
Epigenomics_100.txt,102,24,1944.11,0.985,4.500000,5.19367e+06
Epigenomics_24.txt,26,5,363.207,0.985,4.500000,127112
Epigenomics_46.txt,49,5,502.942,0.985,4.500000,345720
Inspiral_100.txt,102,11,86.7341,0.985,4.500000,219735
Inspiral_1000.txt,1002,40,91.9813,0.985,4.500000,2.70604e+06
Inspiral_30.txt,32,7,86.8915,0.985,4.500000,61000.1
Inspiral_50.txt,52,12,91.8128,0.985,4.500000,88703.2
Montage_100.txt,102,62,4.60235,0.985,4.500000,16954.6
Montage_1000.txt,1002,662,23.9788,0.985,4.500000,162733
Montage_25.txt,27,9,3.0268,0.985,4.500000,3640.58
Montage_50.txt,52,28,3.62878,0.985,4.500000,5529.09
Sipht_100.txt,99,23,291.224,0.985,4.500000,103265
Sipht_1000.txt,970,32,345.903,0.985,4.500000,1.15761e+06
Sipht_30.txt,31,17,286.926,0.985,4.500000,44092.2
Sipht_60.txt,60,18,301.946,0.985,4.500000,90737.1
avianflu_large.txt,2004,2000,140.57,0.985,4.500000,4.6006e+07
avianflu_medium.txt,1004,1000,140.57,0.985,4.500000,2.77526e+07
avianflu_small.txt,104,100,140.57,0.985,4.500000,2.58014e+06
cadsr.txt,6,2,1.30157,0.985,4.500000,296.888
motif_large.txt,505,500,591.564,0.985,4.500000,3.48697e+07
motif_medium.txt,140,135,591.564,0.985,4.500000,8.88849e+06
motif_small.txt,15,10,591.564,0.985,4.500000,354198
