29 0.9 6613.384950000001
0.1013 1 28 1547428
1.5945 1 0 92459
1.5918 1 0 102046
1.3728 1 0 85455
0.8141 1 0 133873
0.7926 1 0 114759
1.084 1 0 52480
1.5851 1 0 84147
1.0947 1 0 136065
1.5533 1 0 91635
1.2139 1 0 47320
0.9944 1 0 59989
1.0719 1 0 97506
1.7013 1 0 134627
0.8422 1 0 66647
0.9736 1 0 60195
1.0472 1 0 86934
1.0868 1 0 101291
981.0277 1 22 5085386
47.5168 1 22 310
44.4697 1 22 96
2449.0798 1 22 3161535
491.2338 6 23 81750 24 84837 25 86027 26 88504 27 90141 28 321881
1.5545 1 26 962579
5.9904 1 28 544
1466.4305 1 28 174803
33 1 28 1198165
3.4618 1 28 364682
2.1792 0
