30 0.9 2002.7699999999998
17.83 1 7 992860
17.97 1 8 983877
17.62 1 9 982316
17.75 1 10 1009501
18.05 1 11 989550
17.57 1 12 995701
18.23 1 13 978215
674.74 1 14 341444
350.25 1 14 165251
594.63 1 14 402601
519.19 1 14 228253
535.21 1 14 233774
332.09 1 14 275315
344.11 1 14 410359
5.61 7 15 41274 16 30607 17 20368 18 19233 19 18140 20 30194 21 40707
5.77 1 22 7733
5.43 1 23 15310
4.93 1 24 16310
5.26 1 25 8309
4.98 1 26 6501
5.35 1 27 6836
5.26 1 28 16024
626.38 1 29 455353
612.78 1 29 273971
418.39 1 29 308593
255.61 1 29 412189
305.7 1 29 278778
510.37 1 29 395715
365.16 1 29 367983
4.85 0
