100 0.9 1999.1399999999999
17.72 1 23 1004121
18.41 1 24 976415
18.29 1 25 968090
18.36 1 26 998458
18.73 1 27 963553
17.99 1 28 986203
18.06 1 29 973847
18.96 1 30 1008807
18.18 1 31 994951
18.24 1 32 983246
18.84 1 33 985623
17.34 1 34 995582
17.91 1 35 999506
18 1 36 1012059
19.09 1 37 964333
18.68 1 38 978312
18.73 1 39 998548
18.1 1 40 974827
17.85 1 41 996995
18.35 1 42 988084
18.35 1 43 977696
19.17 1 44 981285
18.46 1 45 952738
472.07 1 46 340334
322.5 1 46 279653
564.17 1 46 432813
443.95 1 46 248290
344.22 1 46 294114
237.67 1 46 261711
234.71 1 46 177226
482.75 1 46 377039
246.94 1 46 328713
425.01 1 46 461090
297.13 1 46 283529
343.57 1 47 195890
338.02 1 47 431124
546.64 1 47 324818
525.94 1 47 436496
356.63 1 47 352593
670.45 1 47 296519
342.18 1 47 325831
450.21 1 47 412154
552.33 2 47 466512 48 406870
545.41 1 48 402892
418.11 1 48 316636
516.87 1 48 371471
5.46 11 49 17378 50 26459 51 31466 52 37569 53 20658 54 39065 55 34210 56 48167 57 40003 58 34005 59 25656
5.68 9 60 27408 61 18265 62 44035 63 23094 64 35919 65 23986 66 45527 67 34018 68 45044
4.61 4 69 29796 70 24461 71 48037 72 18101
4.92 1 73 11776
5.82 1 74 12445
5.38 1 75 15297
5.21 1 76 13656
4.52 1 77 9428
4.66 1 78 13258
5.06 1 79 9638
5.44 1 80 10103
5.25 1 81 16857
4.25 1 82 7681
5.27 1 83 10352
4.91 1 84 16701
4.27 1 85 11283
4.35 1 86 8347
5.34 1 87 12088
4.71 1 88 14657
5.16 1 89 14945
4.67 1 90 9398
5.14 1 91 18870
5.65 1 92 7563
5.48 1 93 7943
5.2 1 94 17623
5.14 1 95 18614
5.32 1 96 11549
451.46 1 97 413145
587.36 1 97 303583
616.79 1 97 262489
476.75 1 97 368061
424.61 1 97 309371
500.55 1 97 253407
297.36 1 97 223154
280.43 1 97 369500
531.85 1 97 287393
369.43 1 97 213927
421.58 1 97 257884
501.11 1 98 313844
628.17 1 98 248892
614.49 1 98 162445
451.08 1 98 436956
325.35 1 98 282000
436.36 1 98 235298
509.46 1 98 190974
307.28 1 98 175908
341.89 1 98 387986
502.1 1 99 416786
441.36 1 99 366809
256.49 1 99 211933
498.93 1 99 233564
5.21 0
5.46 0
4.89 0
