1000 0.9 2120.085
18.14 1 229 1015340
18.27 1 230 1004195
18.06 1 231 1009623
18.56 1 232 986752
17.97 1 233 981274
17.96 1 234 993463
18.02 1 235 958876
18.39 1 236 997843
17.44 1 237 1019413
18.95 1 238 999317
17.91 1 239 982460
17.92 1 240 955772
18.61 1 241 940093
18.62 1 242 976509
17.97 1 243 992120
17.81 1 244 974988
18.56 1 245 962766
18.22 1 246 996632
18.14 1 247 957500
18.3 1 248 998131
18.78 1 249 995520
17.93 1 250 975641
17.95 1 251 966889
18.16 1 252 1013196
17.93 1 253 986531
18.33 1 254 1023224
17.82 1 255 964034
18.33 1 256 995881
18.57 1 257 974013
18.55 1 258 990223
18.66 1 259 970582
18.65 1 260 952840
17.87 1 261 1003287
18.9 1 262 992171
18.43 1 263 973663
18.29 1 264 979577
17.14 1 265 988783
17.48 1 266 986469
18.64 1 267 968378
18.23 1 268 975560
18.46 1 269 1013220
17.66 1 270 985040
18.73 1 271 996823
17.92 1 272 986726
17.41 1 273 994030
18.1 1 274 968784
18.17 1 275 986952
18.25 1 276 967842
18.53 1 277 976045
18.03 1 278 981823
17.92 1 279 967213
17.77 1 280 967614
18.59 1 281 962714
18.4 1 282 985067
18.46 1 283 1018882
17.81 1 284 979165
18.39 1 285 999219
17.54 1 286 1006144
18.91 1 287 979538
18.06 1 288 970963
18.32 1 289 999688
18.14 1 290 987719
18.43 1 291 1024180
17.89 1 292 985787
17.8 1 293 993261
18.35 1 294 1003240
18.11 1 295 967933
18.03 1 296 1003323
18.63 1 297 1005765
17.99 1 298 972914
18.1 1 299 1006965
18.92 1 300 962074
18.6 1 301 996733
18.37 1 302 1000232
17.91 1 303 978357
17.91 1 304 985862
18.12 1 305 984780
17.32 1 306 995785
17.16 1 307 997647
18.5 1 308 970514
18.2 1 309 978956
18.07 1 310 1001788
17.7 1 311 1023027
18.2 1 312 1009859
19.08 1 313 989936
17.71 1 314 969744
17.36 1 315 985941
17.23 1 316 1004829
17.61 1 317 994446
18.25 1 318 1014239
18.3 1 319 1005332
18.3 1 320 1012041
18.35 1 321 1031150
18.32 1 322 1003217
18.12 1 323 975405
18.08 1 324 982896
18.1 1 325 984083
18.14 1 326 1011227
18.62 1 327 997925
18.37 1 328 982942
17.72 1 329 989682
17.05 1 330 978702
17.99 1 331 1007121
17.64 1 332 992676
18.74 1 333 1035145
18.13 1 334 979005
18.08 1 335 992488
18.39 1 336 1003161
17.9 1 337 965462
18.32 1 338 943029
18.65 1 339 969178
18.23 1 340 991130
18.12 1 341 982069
17.86 1 342 953874
17.92 1 343 982425
18.01 1 344 982475
17.42 1 345 962251
18.06 1 346 956717
18.28 1 347 991995
18.22 1 348 986792
17.75 1 349 1005183
17.77 1 350 1000520
17.93 1 351 1012153
17.86 1 352 980213
17.76 1 353 1007141
18.79 1 354 1004728
18.31 1 355 994586
18.43 1 356 975199
18.47 1 357 1024014
17.8 1 358 982757
19.15 1 359 988709
17.5 1 360 1001618
19.07 1 361 976190
17.7 1 362 1003580
18.64 1 363 974276
16.95 1 364 957558
17.72 1 365 944260
18.5 1 366 944658
18.61 1 367 967388
17.93 1 368 999182
18.23 1 369 974897
18.28 1 370 990430
18.13 1 371 982649
17.61 1 372 990939
18.4 1 373 1010353
18.84 1 374 978002
18.24 1 375 978609
17.9 1 376 950519
18.12 1 377 998584
18.64 1 378 1022320
18.42 1 379 991111
18.15 1 380 971140
18.5 1 381 960835
17.6 1 382 1005777
17.61 1 383 948628
18.13 1 384 1012516
18.01 1 385 1012674
17.71 1 386 972397
18.45 1 387 1011791
17.43 1 388 953527
18.4 1 389 996600
18.04 1 390 953716
18.06 1 391 1009236
18.24 1 392 1002122
18.72 1 393 946282
18.62 1 394 995211
18.64 1 395 982414
17.89 1 396 971220
18.55 1 397 984366
18.04 1 398 987637
18.23 1 399 967686
18.33 1 400 983268
17.58 1 401 966648
18.32 1 402 950283
17.74 1 403 1008326
18.14 1 404 1014468
17.8 1 405 989508
17.94 1 406 994400
18.72 1 407 977142
18.07 1 408 977253
18.3 1 409 996943
18.4 1 410 1009761
18.6 1 411 1007711
17.98 1 412 989665
17.82 1 413 1010594
17.85 1 414 1002288
18.64 1 415 1002074
16.95 1 416 992475
18.16 1 417 989669
17.8 1 418 971971
17.54 1 419 992052
17.9 1 420 1012143
18.06 1 421 977749
18.18 1 422 990386
18.35 1 423 1007342
18.49 1 424 972362
17.38 1 425 975762
17.68 1 426 1031778
17.86 1 427 979530
17.28 1 428 985618
18.2 1 429 1011820
18.45 1 430 993854
18.89 1 431 989297
18.12 1 432 976044
17.88 1 433 998809
17.86 1 434 983493
17.11 1 435 1000980
18.29 1 436 968395
18.25 1 437 1020204
18.05 1 438 991340
18.34 1 439 987847
18.87 1 440 1007156
18.17 1 441 980536
19.02 1 442 1000067
19.15 1 443 987871
18.25 1 444 998846
18.27 1 445 937303
17.54 1 446 985840
18.48 1 447 1013590
18.07 1 448 977181
18.17 1 449 975014
17.41 1 450 995964
18.78 1 451 970523
17.66 1 452 979230
18.61 1 453 994060
18.43 1 454 991468
17.99 1 455 973682
17.66 1 456 965770
18.13 1 457 969415
477.16 1 458 361612
663.25 1 458 275964
546.57 1 458 381510
603 1 458 389636
651.44 1 458 286253
522 1 458 197139
475.23 1 458 319633
489.63 1 458 321407
665.1 1 458 376713
639.86 1 458 270187
350.1 1 458 416240
544.95 1 458 240324
233.22 1 458 423516
568.62 1 458 346014
398.9 1 458 189332
246.44 1 458 304835
301.98 1 458 431839
307.72 1 458 227369
557.99 1 458 377860
623.5 1 458 186077
387.68 1 458 281643
301.7 1 458 269115
490.3 1 458 294989
253.19 1 458 462050
584.24 1 458 222147
387.96 1 458 428868
538.29 1 458 188741
665.5 1 458 461264
613.68 1 458 274686
315.3 1 458 215553
516.06 1 458 280472
472.21 1 458 231491
689.55 1 458 289246
688.69 1 458 366309
576.01 1 458 237270
493.25 1 458 323564
459.68 1 458 262065
499.64 1 458 290183
535.5 1 458 396919
523.94 1 458 402293
617.03 1 459 277700
242.84 1 459 258931
367.63 1 459 466015
287.24 1 459 224076
298.61 1 459 423307
651.37 1 459 178833
339.01 1 459 466955
561.47 1 459 382790
562.38 1 459 292584
560.32 1 459 302134
273.07 1 459 157006
615.57 1 459 164348
299.81 1 459 167604
446.18 1 459 368890
233.69 1 459 368848
461.68 1 459 300670
645.73 1 459 368769
520.88 1 459 211003
633.43 1 459 231430
444.3 1 459 452112
262.54 1 459 292726
335.69 1 459 175585
533.92 1 459 286739
652.07 1 459 267351
463.44 1 459 374457
459.73 1 459 409276
557.68 1 459 438193
667.7 1 459 366001
376.94 1 459 454576
425.21 1 459 174765
474.93 1 459 231098
541.66 1 459 276875
513.51 1 459 369834
273.07 1 459 392959
368.62 1 459 315103
655.67 1 459 446335
330.92 1 459 437135
540.9 1 459 409631
331.77 1 459 357807
300.43 1 460 432426
421.71 1 460 301731
322.6 1 460 222278
401.49 1 460 446219
308.8 1 460 199931
393.22 1 460 329952
292.68 1 460 254009
514.98 1 460 259937
623.26 1 460 468999
371.37 1 460 376973
665.49 1 460 425085
675.74 1 460 233770
401.17 1 460 311027
499.56 1 460 432727
271.75 1 460 235116
288.97 1 460 464029
